PREGUNAT;TIPOAPRENDIZAGE
Aprendo mejor leyendo lo que el maestro escribe en la pizarra;VISUAL
Cuando leo las instrucciones las recuerdo mejor;VISUAL
Entiendo mejor cuando leo las instrucciones;VISUAL
Aprendo mejor leyendo que escuchando a alguien;VISUAL
Aprendo mas leyendo libros de texto que escuchando conferencias;VISUAL
Cuando el profesor me dice las instrucciones entiendo mejor;AUDITIVO
Cuando alguien me dice como hacer algo en clase lo aprendo mejor;AUDITIVO
Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;AUDITIVO
Aprendo mejor en clase cuando el profesor da una conferencia;AUDITIVO
Aprendo mejor en clase cuando escucho a alguien;AUDITIVO
Prefiero aprender haciendo algo en clase;Kinestesico
Cuando hago cosas en clase aprendo mejor;Kinestesico
Me gusta aprender en clase haciendo experimentos;Kinestesico
Entiendo mejor las cosas en clase cuando participo en juegos de rol;Kinestesico
Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello;Kinestesico
